"Ligand_ApprovedSymbol","cECs.1","pericytes.1","cortex.astrocytes"
"A2m",0,0,0.0428699875179695
"Aanat",0,0,0
"Aanat.1",0,0,0
"Ace",0.098818673298239,0,0.00515884234576683
"Ace.1",0.098818673298239,0,0.00515884234576683
"Adam10",3.75385292322948,1.46986925637481,0.91564059147079
"Adam10.1",3.75385292322948,1.46986925637481,0.91564059147079
"Adam12",0,0.0289618431259752,0.0260382218401281
"Adam12.1",0,0.0289618431259752,0.0260382218401281
"Adam12.2",0,0.0289618431259752,0.0260382218401281
"Adam15",0.898808542417634,0.246193585707976,0.13741661906232
"Adam15.1",0.898808542417634,0.246193585707976,0.13741661906232
"Adam15.2",0.898808542417634,0.246193585707976,0.13741661906232
"Adam15.3",0.898808542417634,0.246193585707976,0.13741661906232
"Adam15.4",0.898808542417634,0.246193585707976,0.13741661906232
"Adam17",1.3672448442107,0.605355351959262,0.540295075735494
"Adam17.1",1.3672448442107,0.605355351959262,0.540295075735494
"Adam17.2",1.3672448442107,0.605355351959262,0.540295075735494
"Adam17.3",1.3672448442107,0.605355351959262,0.540295075735494
"Adam23",0.00786340170408716,0,0.419511925910948
"Adam23.1",0.00786340170408716,0,0.419511925910948
"Adam28",0.0646210375835405,0.015429578198252,0.0481466257126763
"Adam2",0.208557601725177,0.252200109446789,0.304965649809611
"Adam2.1",0.208557601725177,0.252200109446789,0.304965649809611
"Adam2.2",0.208557601725177,0.252200109446789,0.304965649809611
"Adam2.3",0.208557601725177,0.252200109446789,0.304965649809611
"Adam2.4",0.208557601725177,0.252200109446789,0.304965649809611
"Adam9",0.311990841368746,0.335880950262379,0.147261380221851
"Adam9.1",0.311990841368746,0.335880950262379,0.147261380221851
"Adam9.2",0.311990841368746,0.335880950262379,0.147261380221851
"Adam9.3",0.311990841368746,0.335880950262379,0.147261380221851
"Adam9.4",0.311990841368746,0.335880950262379,0.147261380221851
"Adcyap1",0,0,0.0006605533938986
"Adcyap1.1",0,0,0.0006605533938986
"Adcyap1.2",0,0,0.0006605533938986
"Adcyap1.3",0,0,0.0006605533938986
"Adipoq",0,0,0
"Adipoq.1",0,0,0
"Adm2",0,0,0
"Adm2.1",0,0,0
"Adm2.2",0,0,0
"Adm",0.11715429497558,0.267992903551796,0.00305194708883891
"Adm.1",0.11715429497558,0.267992903551796,0.00305194708883891
"Adm.2",0.11715429497558,0.267992903551796,0.00305194708883891
"Adm.3",0.11715429497558,0.267992903551796,0.00305194708883891
"Agrn",4.18240383728989,2.50458093074847,0.671094872507288
"Agrn.1",4.18240383728989,2.50458093074847,0.671094872507288
"Agrn.2",4.18240383728989,2.50458093074847,0.671094872507288
"Agrp",0,0,0
"Agrp.1",0,0,0
"Agrp.2",0,0,0
"Agrp.3",0,0,0
"Agt",0,0,0.795419495178573
"Agt.1",0,0,0.795419495178573
"Agt.2",0,0,0.795419495178573
"Agt.3",0,0,0.795419495178573
"Ahsg",0,0,0
"Alb",0,0,0
"Amelx",0,0,0
"Amh",0,0,0
"Amh.1",0,0,0
"Amh.2",0,0,0
"Angpt1",0,0.148243121298393,0.0238344068414248
"Angpt1.1",0,0.148243121298393,0.0238344068414248
"Angpt1.2",0,0.148243121298393,0.0238344068414248
"Angpt2",0.328736626497363,0.49864958661756,0.0027608920547627
"Angpt4",0,0,0.00110872716300341
"Angptl1",0.0256444833156754,0,0.090487264863274
"Angptl3",0,0,0.0197843359609917
"Angptl3.1",0,0,0.0197843359609917
"Angptl3.2",0,0,0.0197843359609917
"Anxa1",0.0445280877678047,0.0492510057731606,0
"Anxa1.1",0.0445280877678047,0.0492510057731606,0
"Anxa1.2",0.0445280877678047,0.0492510057731606,0
"Anxa1.3",0.0445280877678047,0.0492510057731606,0
"Apln",0.0068307028345621,0,2.55354578141697
"Apob",0,0,0
"Apob.1",0,0,0
"Apob.2",0,0,0
"Apob.3",0,0,0
"Apod",1.044485253583,0.698354569458106,0.0199301890387076
"Apoe",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.1",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.2",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.3",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.4",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.5",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.6",3.2752245046777,0.518969895015452,41.0017482811971
"Apoe.7",3.2752245046777,0.518969895015452,41.0017482811971
"App",13.8802068938605,6.60482082014877,0.159912311398551
"App.1",13.8802068938605,6.60482082014877,0.159912311398551
"App.2",13.8802068938605,6.60482082014877,0.159912311398551
"App.3",13.8802068938605,6.60482082014877,0.159912311398551
"App.4",13.8802068938605,6.60482082014877,0.159912311398551
"App.5",13.8802068938605,6.60482082014877,0.159912311398551
"App.6",13.8802068938605,6.60482082014877,0.159912311398551
"NA.",NA,NA,NA
"NA..1",NA,NA,NA
"Arf1",4.29636955795466,4.84023130046165,2.51495746522758
"Arf1.1",4.29636955795466,4.84023130046165,2.51495746522758
"Arf1.2",4.29636955795466,4.84023130046165,2.51495746522758
"Artn",0,0,0.00058898603139903
"Artn.1",0,0,0.00058898603139903
"Artn.2",0,0,0.00058898603139903
"a",0,0,0
"a.1",0,0,0
"a.2",0,0,0
"a.3",0,0,0
"a.4",0,0,0
"a.5",0,0,0
"a.6",0,0,0
"Avp",0,0,0
"Avp.1",0,0,0
"Avp.2",0,0,0
"Avp.3",0,0,0
"Azgp1",0,0,0.00106195308635743
"B2m",19.792817812312,5.78468990200459,0.807459424711389
"Bdnf",0.00525000644295226,0.0700427112400932,0.124785181761707
"Bdnf.1",0.00525000644295226,0.0700427112400932,0.124785181761707
"Bdnf.2",0.00525000644295226,0.0700427112400932,0.124785181761707
"Bgn",0.128379003180476,7.71771948062618,0.0128785062896172
"Bgn.1",0.128379003180476,7.71771948062618,0.0128785062896172
"Bmp10",0,0,0
"Bmp10.1",0,0,0
"Bmp10.2",0,0,0
"Bmp10.3",0,0,0
"Bmp10.4",0,0,0
"Bmp10.5",0,0,0
"Bmp15",0.0359024780074858,0,0.0127803282116972
"Bmp15.1",0.0359024780074858,0,0.0127803282116972
"Bmp15.2",0.0359024780074858,0,0.0127803282116972
