"","Ligand_ApprovedSymbol","B2.tanycytes 1","Plvap.ECs","ME.astrocytes 1","ME.astrocytes 2","Gfap.high astrocytes","fibroblasts.1","ME.pericytes"
"1777","Anxa2",4.35367137269587,3.69346230167669,0.00809838684081696,0,0.282853310299555,3.50222125555311,0
"1778","Anxa2",4.35367137269587,3.69346230167669,0.00809838684081696,0,0.282853310299555,3.50222125555311,0
"1779","Anxa2",4.35367137269587,3.69346230167669,0.00809838684081696,0,0.282853310299555,3.50222125555311,0
"1780","Anxa2",4.35367137269587,3.69346230167669,0.00809838684081696,0,0.282853310299555,3.50222125555311,0
"1781","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1782","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1783","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1784","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1785","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1786","Marcks",1.58832177953499,8.78414715117939,6.92639727512777,6.90055646109847,7.93767668818274,11.7462546052508,0
"1787","Clec14a",0.00839023990921486,6.66966345925208,0,0,0,0.107734248548784,0
"1788","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1789","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1790","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1791","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1792","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1793","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1794","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1795","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1796","Sgk1",0.172573093197246,7.62196603225089,0.0103390849543834,0.0063206458212982,0.018584387316798,1.1143282787762,0
"1797","Tmem176b",5.60988274665002,3.23385945145015,3.10707613965427,2.9565259577347,2.87586690657564,4.55475165175351,0
"1798","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1799","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1800","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1801","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1802","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1803","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1804","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1805","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1806","Kdr",0.0578287294797823,41.02028578049,0.011591706226258,0.00430153019901447,0.0378485393444656,0.022471648575722,0
"1807","Plscr2",0.196442308042689,3.97140332048955,0.5985985590831,0.734667761162202,0.347899776288495,0.103117990515078,0
"1808","0",0,0,0,0,0,0,0
"1809","0",0,0,0,0,0,0,0
"1810","0",0,0,0,0,0,0,0
"1811","0",0,0,0,0,0,0,0
"1812","0",0,0,0,0,0,0,0
"1813","0",0,0,0,0,0,0,0
"1814","0",0,0,0,0,0,0,0
"1815","0",0,0,0,0,0,0,0
"1816","0",0,0,0,0,0,0,0
